event_date,country,admin1,location,latitude,longitude,event_type,sub_event_type,fatalities
2024-04-13,Iraq,Al Basrah,Basrah,30.533,47.7975,Violence against civilians,Attack,1
2024-04-14,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-17,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-13,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-04-13,Iraq,Al Basrah,Basrah,30.533,47.7975,Violence against civilians,Attack,1
2024-04-19,Iraq,Al Basrah,Al Qiblah,30.4477,47.7993,Violence against civilians,Attack,0
2024-04-16,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-17,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-17,Iraq,Duhok,Gire Orte,37.2031,43.3938,Explosions/Remote violence,Air/drone strike,0
2024-04-18,Iraq,Duhok,Gire Orte,37.2031,43.3938,Explosions/Remote violence,Air/drone strike,0
2024-04-19,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-19,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-19,Iraq,Duhok,Gire Orte,37.2031,43.3938,Explosions/Remote violence,Air/drone strike,0
2024-04-20,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-20,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-20,Iraq,Duhok,Gire Orte,37.2031,43.3938,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Ninewa,Desta Kafya,36.9406,43.7469,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Gire Hakkari,37.1399,43.527,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Gire Orte,37.2031,43.3938,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Khankah,37.1787,43.3488,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Yekmale,37.1708,43.4347,Explosions/Remote violence,Air/drone strike,0
2024-04-22,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-23,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-04-23,Iraq,Duhok,Mije,37.0478,43.5593,Explosions/Remote violence,Air/drone strike,0
2024-04-25,Iraq,Erbil,Bradost,36.9812,44.6618,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Shelaza,37.1538,43.385,Battles,Armed clash,0
2024-04-25,Iraq,Al Basrah,Karmat Ali,30.5687,47.7274,Battles,Armed clash,0
2024-04-24,Iraq,Maysan,Kahla,31.6484,47.5551,Battles,Armed clash,0
2024-04-25,Iraq,Al Basrah,Al Hayyaniyah,30.4984,47.7761,Strategic developments,Arrests,0
2024-04-20,Iraq,Diyala,Baquba,33.754,44.6052,Strategic developments,Arrests,0
2024-04-22,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-04-23,Iraq,Babil,Hilla,32.4637,44.4196,Violence against civilians,Attack,0
2024-04-20,Iraq,Diyala,Baquba,33.754,44.6052,Strategic developments,Change to group/activity,0
2024-04-26,Iraq,Ninewa,Yakmalah,36.9642,43.6663,Strategic developments,Change to group/activity,0
2024-04-24,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-23,Iraq,Ninewa,Sinjar,36.2955,41.8932,Protests,Peaceful protest,0
